# X_0;X_1;R_0;S_0;G_0;I_0
12508;19566;143000;142501;498;1
17206;15269;143000;144264;-1264;0
14821;23926;143000;145381;-2381;0
13880;25550;143000;145265;-2265;0
16563;18015;143000;144693;-1693;0
12978;19134;143000;142677;322;1
18720;15590;143000;145362;-2362;0
16731;23272;143000;146437;-3437;0
19534;17105;143000;146370;-3370;0
17210;19715;143000;145648;-2648;0
16681;23065;143000;146340;-3340;0
15971;23747;143000;146083;-3083;0
19479;15852;143000;145944;-2944;0
13981;22637;143000;144426;-1426;0
11798;29819;143000;145218;-2218;0
18189;19789;143000;146316;-3316;0
16203;23368;143000;146119;-3119;0
11501;15992;143000;140727;2272;1
14186;19620;143000;143624;-624;0
15099;11634;143000;141746;1253;1
14266;28666;143000;146487;-3487;0
18342;24451;143000;147865;-4865;0
11284;20774;143000;142069;930;1
12325;18889;143000;142170;829;1
13104;14041;143000;141178;1821;1
17697;23952;143000;147285;-4285;0
12539;15338;143000;141208;1791;1
12221;21198;143000;142819;180;1
17048;22267;143000;146334;-3334;0
11617;22044;143000;142683;316;1
17841;17631;143000;145417;-2417;0
17742;30345;143000;149301;-6301;0
15241;27684;143000;146825;-3825;0
21277;17928;143000;147774;-4774;0
15257;20605;143000;144637;-1637;0
12925;26636;143000;144972;-1972;0
14991;26299;143000;146230;-3230;0
12832;27375;143000;145141;-2141;0
16811;25281;143000;147114;-4114;0
14524;20532;143000;144131;-1131;0
13058;9822;143000;139837;3162;1
14602;10527;143000;141074;1925;1
18921;18894;143000;146521;-3521;0
12301;21766;143000;143048;-48;0
18794;22201;143000;147465;-4465;0
16582;17668;143000;144598;-1598;0
14547;17456;143000;143190;-190;0
15546;19746;143000;144560;-1560;0
15176;18074;143000;143797;-797;0
14382;15825;143000;142575;424;1
12616;17776;143000;142016;983;1
11411;20141;143000;141957;1042;1
12653;9742;143000;139545;3454;1
12427;15410;143000;141157;1842;1
17428;10450;143000;142914;85;1
15232;27346;143000;146714;-3714;0
16201;15399;143000;143642;-642;0
10295;21728;143000;141714;1285;1
12505;18287;143000;142102;897;1
16233;25595;143000;146830;-3830;0
13595;23522;143000;144447;-1447;0
14606;15561;143000;142641;358;1
20336;20812;143000;148050;-5050;0
11385;18009;143000;141277;1722;1
11293;17827;143000;141160;1839;1
13206;18419;143000;142605;394;1
15390;12993;143000;142360;639;1
15440;17816;143000;143891;-891;0
15306;23571;143000;145590;-2590;0
15236;25103;143000;146020;-3020;0
16960;18511;143000;145109;-2109;0
18372;23997;143000;147744;-4744;0
14671;15871;143000;142780;219;1
11599;12523;143000;139714;3285;1
15780;19372;143000;144598;-1598;0
19378;20266;143000;147249;-4249;0
12863;24018;143000;144118;-1118;0
11472;21078;143000;142288;711;1
21631;18895;143000;148308;-5308;0
14742;22153;143000;144778;-1778;0
16422;21235;143000;145600;-2600;0
16758;17816;143000;144760;-1760;0
16321;14790;143000;143532;-532;0
13369;15970;143000;141952;1047;1
14717;24538;143000;145502;-2502;0
15193;20348;143000;144515;-1515;0
19585;19073;143000;147014;-4014;0
14259;18486;143000;143320;-320;0
11458;31435;143000;145496;-2496;0
12505;16218;143000;141459;1540;1
19103;20231;143000;147056;-4056;0
13910;25323;143000;145214;-2214;0
14472;16084;143000;142715;284;1
13313;12822;143000;140937;2062;1
15728;9745;143000;141574;1425;1
12405;21789;143000;143124;-124;0
15145;27406;143000;146675;-3675;0
14558;22217;143000;144676;-1676;0
15014;17635;143000;143554;-554;0
13966;25574;143000;145329;-2329;0
15190;26573;143000;146446;-3446;0
12164;28081;143000;144919;-1919;0
19884;21406;143000;147936;-4936;0
13109;22387;143000;143774;-774;0
20366;19181;143000;147563;-4563;0
13404;16451;143000;142124;875;1
14483;21199;143000;144311;-1311;0
15722;19156;143000;144493;-1493;0
17783;17649;143000;145384;-2384;0
17423;11713;143000;143303;-303;0
12651;17340;143000;141904;1095;1
16125;8742;143000;141524;1475;1
15595;28719;143000;147380;-4380;0
12288;26005;143000;144356;-1356;0
11504;22073;143000;142618;381;1
12799;21982;143000;143444;-444;0
10313;20703;143000;141407;1592;1
20050;19091;143000;147327;-4327;0
12349;21597;143000;143027;-27;0
16973;15382;143000;144146;-1146;0
19059;12439;143000;144607;-1607;0
12486;18766;143000;142238;761;1
15031;20109;143000;144334;-1334;0
13238;20751;143000;143351;-351;0
13989;19484;143000;143452;-452;0
16543;18293;143000;144766;-1766;0
15838;16093;143000;143618;-618;0
15533;19991;143000;144628;-1628;0
15271;18965;143000;144136;-1136;0
16926;27956;143000;148021;-5021;0
13529;12104;143000;140857;2142;1
18864;25186;143000;148438;-5438;0
13178;22738;143000;143928;-928;0
15783;19053;143000;144501;-1501;0
10988;18831;143000;141271;1728;1
14606;26227;143000;145954;-2954;0
16412;17204;143000;144342;-1342;0
16105;17746;143000;144308;-1308;0
15353;26709;143000;146596;-3596;0
14258;19733;143000;143707;-707;0
14873;20965;143000;144495;-1495;0
17913;21787;143000;146755;-3755;0
19513;22388;143000;147997;-4997;0
15419;16496;143000;143467;-467;0
14265;18638;143000;143371;-371;0
12236;18274;143000;141921;1078;1
15276;19061;143000;144170;-1170;0
12788;23963;143000;144052;-1052;0
16634;16442;143000;144251;-1251;0
17813;18758;143000;145748;-2748;0
13651;21176;143000;143755;-755;0
13985;19214;143000;143366;-366;0
17310;19867;143000;145761;-2761;0
15298;19198;143000;144227;-1227;0
15983;27281;143000;147189;-4189;0
14541;22592;143000;144782;-1782;0
12472;16417;143000;141499;1500;1
14299;21744;143000;144359;-1359;0
16778;19761;143000;145377;-2377;0
13226;19818;143000;143053;-53;0
13375;14384;143000;141463;1536;1
13975;16589;143000;142544;455;1
18909;18251;143000;146313;-3313;0
16410;25249;143000;146839;-3839;0
18448;19353;143000;146352;-3352;0
17020;17035;143000;144690;-1690;0
14768;24555;143000;145541;-2541;0
13249;17933;143000;142483;516;1
12261;14570;143000;140786;2213;1
13406;28539;143000;145881;-2881;0
11446;21706;143000;142466;533;1
9775;17188;143000;139960;3039;1
17256;16720;143000;144748;-1748;0
9139;14604;143000;138738;4261;1
18085;23254;143000;147324;-4324;0
16177;16857;143000;144079;-1079;0
15714;14295;143000;142978;21;1
14618;24679;143000;145481;-2481;0
14188;18922;143000;143409;-409;0
16903;15264;143000;144063;-1063;0
16842;25407;143000;147173;-4173;0
17779;24077;143000;147378;-4378;0
14792;16543;143000;143068;-68;0
12112;24127;143000;143657;-657;0
15505;26837;143000;146736;-3736;0
14628;21111;143000;144379;-1379;0
17152;18779;143000;145319;-2319;0
11654;20359;143000;142184;815;1
16372;23652;143000;146318;-3318;0
15301;12796;143000;142240;759;1
9972;22442;143000;141722;1277;1
15712;28122;143000;147272;-4272;0
10511;24130;143000;142602;397;1
15713;28307;143000;147330;-4330;0
15174;9688;143000;141191;1808;1
17057;22589;143000;146440;-3440;0
17166;21681;143000;146230;-3230;0
16448;22558;143000;146029;-3029;0
16538;19007;143000;144985;-1985;0
15362;21513;143000;144988;-1988;0
11599;11940;143000;139533;3466;1
14120;16097;143000;142487;512;1
18698;21848;143000;147292;-4292;0
13893;21822;143000;144115;-1115;0
19046;19458;143000;146779;-3779;0
11012;17886;143000;140993;2006;1
10924;20736;143000;141820;1179;1
12779;21544;143000;143294;-294;0
16190;20615;143000;145255;-2255;0
15896;20783;143000;145113;-2113;0
13193;18674;143000;142676;323;1
16383;23199;143000;146185;-3185;0
14220;20634;143000;143962;-962;0
12874;20563;143000;143052;-52;0
17015;14467;143000;143889;-889;0
15136;22771;143000;145230;-2230;0
18137;13704;143000;144392;-1392;0
15698;25559;143000;146466;-3466;0
10639;18748;143000;141015;1984;1
17749;18140;143000;145514;-2514;0
17257;23273;143000;146784;-3784;0
16245;15141;143000;143591;-591;0
12892;23532;143000;143986;-986;0
15336;17346;143000;143676;-676;0
15651;15089;143000;143183;-183;0
11910;16847;143000;141262;1737;1
14445;22614;143000;144725;-1725;0
17625;19793;143000;145946;-2946;0
13962;16854;143000;142618;381;1
18008;14538;143000;144566;-1566;0
13387;22734;143000;144065;-1065;0
14910;20744;143000;144451;-1451;0
16679;16405;143000;144270;-1270;0
10918;9812;143000;138423;4576;1
15862;21668;143000;145366;-2366;0
18310;18221;143000;145909;-2909;0
16193;24800;143000;146557;-3557;0
19640;24482;143000;148731;-5731;0
17556;15093;143000;144440;-1440;0
12314;14371;143000;140760;2239;1
17310;15190;143000;144308;-1308;0
17897;20776;143000;146430;-3430;0
18718;16002;143000;145489;-2489;0
17092;14017;143000;143800;-800;0
16003;25624;143000;146688;-3688;0
13926;18094;143000;142979;20;1
11819;14192;143000;140378;2621;1
14553;23459;143000;145059;-2059;0
14629;25602;143000;145775;-2775;0
14470;27721;143000;146328;-3328;0
10524;23068;143000;142281;718;1
19956;21371;143000;147973;-4973;0
15251;19487;143000;144285;-1285;0
13725;19398;143000;143252;-252;0
16018;24952;143000;146489;-3489;0
12995;30064;143000;146083;-3083;0
14248;14071;143000;141942;1057;1
16613;24090;143000;146613;-3613;0
13295;20733;143000;143383;-383;0
10435;24366;143000;142625;374;1
14699;17304;143000;143243;-243;0
16399;8406;143000;141600;1399;1
17875;10576;143000;143248;-248;0
13853;16022;143000;142287;712;1
18296;20240;143000;146527;-3527;0
12093;24914;143000;143889;-889;0
15487;20867;143000;144870;-1870;0
13990;18928;143000;143280;-280;0
13805;13001;143000;141317;1682;1
15051;21416;143000;144753;-1753;0
13098;24191;143000;144327;-1327;0
13474;22365;143000;144008;-1008;0
14276;21765;143000;144350;-1350;0
13435;13612;143000;141263;1736;1
14926;19279;143000;144006;-1006;0
15065;17302;143000;143484;-484;0
14118;22850;143000;144583;-1583;0
15642;16467;143000;143605;-605;0
15319;29015;143000;147290;-4290;0
18059;32742;143000;150254;-7254;0
13614;18309;143000;142840;159;1
16514;18358;143000;144767;-1767;0
10198;18991;143000;140799;2200;1
16762;26235;143000;147378;-4378;0
12919;15914;143000;141638;1361;1
19368;28172;143000;149698;-6698;0
17289;19311;143000;145574;-2574;0
18349;23939;143000;147711;-4711;0
13118;19088;143000;142755;244;1
15012;13412;143000;142241;758;1
17173;17639;143000;144979;-1979;0
17059;16646;143000;144595;-1595;0
13268;19929;143000;143115;-115;0
14842;24626;143000;145612;-2612;0
12961;17722;143000;142227;772;1
14420;11858;143000;141368;1631;1
12082;17857;143000;141689;1310;1
13071;24291;143000;144340;-1340;0
16134;24500;143000;146425;-3425;0
14334;13539;143000;141833;1166;1
11355;12367;143000;139505;3494;1
16105;18493;143000;144540;-1540;0
14815;22070;143000;144800;-1800;0
15008;18383;143000;143782;-782;0
13642;22648;143000;144206;-1206;0
15528;24542;143000;146038;-3038;0
15789;23165;143000;145783;-2783;0
14975;13271;143000;142173;826;1
16262;25054;143000;146681;-3681;0
18436;25529;143000;148262;-5262;0
16801;26000;143000;147330;-4330;0
16632;25140;143000;146952;-3952;0
13836;16324;143000;142370;629;1
14280;19363;143000;143607;-607;0
16104;23853;143000;146204;-3204;0
15590;18519;143000;144208;-1208;0
20325;30581;143000;151077;-8077;0
11372;20949;143000;142182;817;1
16408;28474;143000;147840;-4840;0
17524;27067;143000;148139;-5139;0
16590;19032;143000;145027;-2027;0
13594;13105;143000;141210;1789;1
14818;16592;143000;143101;-101;0
15162;18978;143000;144069;-1069;0
