# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
197335591988.72;242443970.82;12948.34;1.00;0.96;138.41;5.68;105.84;7.10;138.10;898.09;103406.60;10966.90;30436.90;103913.13;0.01;1829.91;996.00;0.00;-28631.37;-102794.61;-0.01;0.00;0.00;0.00
196016817346.34;252735030.97;11620.10;0.94;1.08;135.46;5.67;100.79;7.08;138.37;954.94;96314.45;8993.54;31792.11;105910.14;0.01;1642.17;893.85;0.00;-27947.78;-98060.80;-0.01;0.00;0.00;0.00
181509091480.44;245843246.97;14026.33;0.98;1.00;133.98;5.74;101.81;6.88;139.75;947.93;109586.29;11019.96;31233.89;103150.79;0.01;1982.19;1078.92;0.00;-28550.68;-99735.57;-0.01;0.00;0.00;0.00
195639645038.52;253598717.42;11647.04;1.08;1.03;134.51;5.79;105.26;7.21;142.39;945.25;108409.39;10991.14;32826.14;107678.77;0.01;1646.02;895.92;0.00;-33874.76;-115745.78;-0.02;0.00;0.00;0.00
212397668595.65;244208241.48;13782.57;1.03;0.98;138.05;5.70;100.56;7.18;137.49;903.85;92040.23;10418.43;30523.90;104800.03;0.01;1947.76;1060.15;0.00;-29485.74;-106749.04;-0.02;0.00;0.00;0.00
186590758912.08;266503130.02;12869.96;1.00;1.10;138.07;5.82;102.15;7.28;141.45;922.39;117111.38;10274.19;34268.81;116849.23;0.01;1818.73;989.92;0.00;-32153.43;-115364.97;-0.01;0.00;0.00;0.00
187038155763.82;255925763.28;13933.21;1.11;1.04;145.44;5.78;102.89;7.17;136.17;942.86;104230.85;9142.13;31681.76;117363.86;0.01;1969.10;1071.77;0.00;-33141.11;-129215.80;-0.02;0.00;0.00;0.00
199009894470.03;256675786.58;12754.56;1.03;0.98;144.08;5.84;104.93;7.06;136.13;968.89;107731.41;9086.59;31764.43;117711.39;0.01;1802.46;981.08;0.00;-31029.75;-120567.13;-0.02;0.00;0.00;0.00
188686523815.04;242349520.88;13435.38;1.01;1.02;140.56;5.90;102.89;7.29;134.99;944.65;85878.35;8650.21;29740.95;109630.40;0.01;1898.72;1033.46;0.00;-28165.18;-109929.56;-0.02;0.00;0.00;0.00
176131331057.57;248664231.63;12343.37;0.95;1.02;136.09;5.73;100.54;7.14;138.00;947.24;88832.52;11422.23;31196.89;105855.63;0.01;1744.36;949.46;0.00;-27789.58;-99358.48;-0.01;0.00;0.00;0.00
