# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
199800115730.43;255726165.92;23835.46;1.01;0.99;143.45;5.60;95.70;7.07;144.61;982.43;34032.85;113409.59;0.02;25904.85;23659.67;0.00;-8128.00;-89749.91;-0.02;0.00;0.00;0.00
192824666296.30;253385636.11;21241.22;0.95;0.97;134.88;5.56;98.98;7.02;136.24;986.16;29858.04;98537.32;0.01;22606.59;20647.28;0.00;-7251.44;-77890.04;-0.01;0.00;0.00;0.00
211255313290.58;260179899.30;22618.99;1.01;1.02;130.70;6.39;103.30;6.81;129.01;924.63;30947.26;120128.29;0.02;25344.39;23147.79;0.00;-5602.87;-96980.50;-0.02;0.00;0.00;0.00
191740774522.85;278688540.41;20429.20;1.07;0.97;139.04;5.78;104.97;6.85;139.23;874.61;37893.72;131244.33;0.02;21652.21;19775.61;0.00;-16241.51;-111468.72;-0.02;0.00;0.00;0.00
193529254954.51;241465000.84;16546.02;0.98;1.02;139.69;6.06;93.82;7.36;138.35;883.98;29827.20;109493.97;0.01;18505.13;16901.29;0.00;-11322.07;-92592.68;-0.01;0.00;0.00;0.00
215821338308.07;246535872.32;18864.82;1.00;0.96;142.15;6.42;98.34;7.59;133.52;906.92;30036.78;123184.19;0.02;19927.20;18200.11;0.00;-10109.58;-104984.08;-0.02;0.00;0.00;0.00
206380396570.48;246656420.70;20174.10;0.98;1.02;150.66;5.59;100.81;7.36;143.32;958.13;31418.60;110849.73;0.01;22560.10;20604.81;0.00;-8858.50;-90244.91;-0.01;0.00;0.00;0.00
201542736111.29;244731389.12;24253.00;0.97;0.99;144.41;6.02;102.15;7.53;145.97;907.28;31450.48;112398.41;0.01;26356.11;24071.82;0.00;-5094.37;-88326.58;-0.01;0.00;0.00;0.00
200909666951.50;264190481.19;22258.06;0.95;1.03;147.18;6.20;97.38;7.70;159.05;875.42;36464.94;125440.79;0.01;25201.79;23017.55;0.00;-11263.14;-102423.23;-0.01;0.00;0.00;0.00
177604020783.56;246133603.46;24390.18;0.97;1.00;144.55;6.16;103.56;6.86;142.34;885.08;30918.69;115978.80;0.01;26741.79;24424.08;0.00;-4176.90;-91554.72;-0.01;0.00;0.00;0.00
184852857800.81;250375794.04;22175.55;0.99;1.00;132.16;5.68;94.85;7.45;144.88;951.99;32717.91;101789.64;0.01;24300.03;22193.95;0.00;-8417.88;-79595.70;-0.01;0.00;0.00;0.00
206737166590.08;241258102.80;18098.79;1.00;1.03;132.40;6.28;100.88;6.73;136.78;887.01;29857.10;108821.34;0.01;20317.11;18556.22;0.00;-9540.00;-90265.12;-0.01;0.00;0.00;0.00
237125215391.66;232507894.09;23662.78;0.99;0.98;141.51;6.13;94.15;7.43;149.51;958.42;31346.00;109047.84;0.01;25430.13;23226.10;0.00;-5915.87;-85821.74;-0.01;0.00;0.00;0.00
189013907138.55;246086491.96;17774.50;1.02;1.03;136.71;5.94;97.21;7.10;132.21;1007.60;30304.60;111599.54;0.02;20017.04;18282.16;0.00;-10287.56;-93317.38;-0.02;0.00;0.00;0.00
205476190126.05;246142371.53;19220.68;1.01;1.03;132.12;5.65;94.86;7.18;140.95;966.08;32009.43;101776.12;0.02;21731.97;19848.46;0.00;-10277.46;-81927.66;-0.02;0.00;0.00;0.00
201988271322.84;259660247.14;20512.93;1.00;1.00;142.87;6.01;96.18;7.00;139.22;978.36;32840.64;121613.80;0.01;22405.00;20463.16;0.00;-10435.64;-101150.64;-0.01;0.00;0.00;0.00
180164567476.90;235358604.70;18907.26;0.95;1.08;145.09;5.99;99.44;7.09;145.04;898.60;29631.84;106545.46;0.01;22430.41;20486.37;0.00;-7201.43;-86059.09;-0.01;0.00;0.00;0.00
197180712117.43;270586119.72;25972.11;0.97;1.01;130.96;5.82;106.01;7.66;133.29;934.88;31925.57;109556.94;0.01;28851.55;26350.98;0.00;-3074.02;-83205.96;-0.01;0.00;0.00;0.00
200352744496.32;276449539.04;17993.89;1.01;1.04;142.19;5.73;97.39;7.70;132.69;1028.17;33827.88;124604.31;0.02;20432.43;18661.55;0.00;-13395.45;-105942.75;-0.02;0.00;0.00;0.00
