# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
543;991;2;2;3;2;2;0;0;0;0
501;988;3;3;3;2;2;-1;-1;0;0
697;1038;2;2;3;3;3;0;0;1;1
566;934;2;2;3;2;2;0;0;0;0
554;1071;3;3;3;2;2;0;0;0;0
638;1004;2;2;3;2;2;0;0;1;0
514;1010;2;2;3;2;2;0;0;0;0
512;908;2;2;2;2;2;0;0;0;0
492;810;3;3;3;2;2;-1;-1;0;0
351;918;2;2;3;1;1;-1;-1;0;0
669;1091;2;2;2;3;3;0;0;1;1
372;1041;3;3;3;1;1;-1;-1;0;0
613;904;3;3;3;2;2;0;0;0;0
594;989;3;3;3;2;2;0;-1;0;0
408;1036;3;3;3;2;2;-1;-1;0;0
362;1190;3;3;3;1;2;-1;-1;0;0
665;1088;2;2;3;2;3;0;0;1;0
433;838;2;2;3;2;2;0;-1;0;0
392;1130;2;2;2;2;2;0;0;0;0
349;940;2;2;3;1;1;-1;-1;0;0
491;1029;3;3;3;2;2;-1;-1;0;0
535;1043;3;3;3;2;2;0;0;0;0
439;909;3;3;3;2;2;-1;-1;0;0
287;1140;2;2;3;1;1;-1;-1;0;0
520;1040;2;2;2;2;2;0;0;0;0
578;1116;3;3;3;2;2;0;0;0;0
523;992;2;2;2;2;2;0;0;0;0
496;1039;3;3;3;2;2;0;0;0;0
560;1136;3;3;3;2;2;0;0;0;0
252;971;2;2;3;1;1;-1;-1;0;0
574;1136;2;2;3;2;2;0;0;0;0
330;1102;2;2;2;1;1;0;0;0;0
432;1017;3;3;3;2;2;-1;-1;0;0
519;991;2;2;3;2;2;0;0;0;0
333;763;2;2;2;1;1;-1;-1;0;0
461;936;2;2;2;2;2;0;0;0;0
422;1030;2;2;3;2;2;0;0;0;0
625;964;3;3;3;2;2;0;0;0;0
415;904;2;2;2;1;2;0;0;0;0
442;923;3;3;3;2;2;0;-1;0;0
444;849;2;2;3;2;2;0;0;0;0
385;930;3;3;3;1;1;-1;-1;0;0
